Camara,Especies,Eventos,Esfuerzo,A̱o,Modelo
B1_1,C. latrans,3,81,2016,1
B1_1,C. latrans,2,97,2018,1
B1_2,C. latrans,1,120,2016,1
B1_2,C. latrans,2,97,2018,1
B1_3,C. latrans,3,120,2016,1
B1_3,C. latrans,1,97,2018,1
B2_1,C. latrans,1,120,2016,2
B2_1,C. latrans,0,76,2018,2
B2_2,C. latrans,2,81,2016,2
B2_2,C. latrans,2,72,2018,2
B2_3,C. latrans,2,81,2016,2
B2_3,C. latrans,1,91,2018,2
B1_1,C. leuconotus,0,88,2014,1
B1_1,C. leuconotus,1,81,2016,1
B1_1,C. leuconotus,4,97,2018,1
B1_2,C. leuconotus,2,119,2014,1
B1_2,C. leuconotus,3,120,2016,1
B1_2,C. leuconotus,4,97,2018,1
B1_3,C. leuconotus,2,88,2014,1
B1_3,C. leuconotus,2,120,2016,1
B1_3,C. leuconotus,5,97,2018,1
B2_1,C. leuconotus,0,119,2014,2
B2_1,C. leuconotus,0,76,2018,2
B2_1,C. leuconotus,2,120,2016,2
B2_2,C. leuconotus,0,119,2014,2
B2_2,C. leuconotus,4,81,2016,2
B2_2,C. leuconotus,3,72,2018,2
B2_3,C. leuconotus,0,119,2014,2
B2_3,C. leuconotus,2,81,2016,2
B2_3,C. leuconotus,1,91,2018,2
B1_1,L. rufus,30,88,2014,1
B1_1,L. rufus,35,97,2018,1
B1_1,L. rufus,38,81,2016,1
B1_2,L. rufus,32,119,2014,1
B1_2,L. rufus,34,97,2018,1
B1_2,L. rufus,33,120,2016,1
B1_3,L. rufus,36,97,2018,1
B1_3,L. rufus,30,120,2016,1
B1_3,L. rufus,31,88,2014,1
B2_1,L. rufus,29,76,2018,2
B2_1,L. rufus,40,120,2016,2
B2_1,L. rufus,30,119,2014,2
B2_2,L. rufus,31,81,2016,2
B2_2,L. rufus,31,72,2018,2
B2_2,L. rufus,30,88,2014,2
B2_3,L. rufus,32,81,2016,2
B2_3,L. rufus,33,91,2018,2
B2_3,L. rufus,37,88,2014,2
B1_1,M. macroura,1,97,2018,1
B1_1,M. macroura,2,81,2016,1
B1_1,M. macroura,5,88,2014,1
B1_2,M. macroura,2,97,2018,1
B1_2,M. macroura,3,120,2016,1
B1_2,M. macroura,1,119,2014,1
B1_3,M. macroura,2,97,2018,1
B1_3,M. macroura,0,120,2016,1
B1_3,M. macroura,3,88,2014,1
B2_1,M. macroura,3,76,2018,2
B2_1,M. macroura,2,120,2016,2
B2_1,M. macroura,2,119,2014,2
B2_2,M. macroura,1,72,2018,2
B2_2,M. macroura,1,81,2016,2
B2_2,M. macroura,4,88,2014,2
B2_3,M. macroura,1,81,2016,2
B2_3,M. macroura,2,91,2018,2
B2_3,M. macroura,5,88,2014,2
B1_1,O. virginianus,44,97,2018,1
B1_1,O. virginianus,45,81,2016,1
B1_1,O. virginianus,43,88,2014,1
B1_2,O. virginianus,40,97,2018,1
B1_2,O. virginianus,42,120,2016,1
B1_2,O. virginianus,42,119,2014,1
B1_3,O. virginianus,44,97,2018,1
B1_3,O. virginianus,45,120,2016,1
B1_3,O. virginianus,51,88,2014,1
B2_1,O. virginianus,38,76,2018,2
B2_1,O. virginianus,42,120,2016,2
B2_1,O. virginianus,47,119,2014,2
B2_2,O. virginianus,48,72,2018,2
B2_2,O. virginianus,49,81,2016,2
B2_2,O. virginianus,41,88,2014,2
B2_3,O. virginianus,42,91,2018,2
B2_3,O. virginianus,44,81,2016,2
B2_3,O. virginianus,44,88,2014,2
B1_1,P. lotor,2,97,2018,1
B1_2,P. lotor,0,97,2018,1
B1_3,P. lotor,1,97,2018,1
B2_1,P. lotor,2,76,2018,2
B2_2,P. lotor,1,72,2018,2
B2_3,P. lotor,0,91,2018,2
B1_1,P. tajacu,2,97,2018,1
B1_1,P. tajacu,3,81,2016,1
B1_1,P. tajacu,6,88,2014,1
B1_2,P. tajacu,4,97,2018,1
B1_2,P. tajacu,2,120,2016,1
B1_2,P. tajacu,4,119,2014,1
B1_3,P. tajacu,3,97,2018,1
B1_3,P. tajacu,5,120,2016,1
B1_3,P. tajacu,8,88,2014,1
B2_1,P. tajacu,2,76,2018,2
B2_1,P. tajacu,7,120,2016,2
B2_1,P. tajacu,3,119,2014,2
B2_2,P. tajacu,3,72,2018,2
B2_2,P. tajacu,6,81,2016,2
B2_2,P. tajacu,7,88,2014,2
B2_3,P. tajacu,0,91,2018,2
B2_3,P. tajacu,2,81,2016,2
B2_3,P. tajacu,3,88,2014,2
B1_1,P. yagouaroundi,1,88,2014,1
B1_2,P. yagouaroundi,0,119,2014,1
B1_3,P. yagouaroundi,0,88,2014,1
B2_1,P. yagouaroundi,1,119,2014,2
B2_2,P. yagouaroundi,0,88,2014,2
B2_3,P. yagouaroundi,0,88,2014,2
B1_1,S. angustifrons,1,97,2018,1
B1_1,S. angustifrons,3,81,2016,1
B1_2,S. angustifrons,1,97,2018,1
B1_2,S. angustifrons,4,120,2016,1
B1_3,S. angustifrons,4,97,2018,1
B1_3,S. angustifrons,6,120,2016,1
B2_1,S. angustifrons,2,76,2018,2
B2_1,S. angustifrons,9,120,2016,2
B2_2,S. angustifrons,2,72,2018,2
B2_2,S. angustifrons,5,81,2016,2
B2_3,S. angustifrons,0,91,2018,2
B2_3,S. angustifrons,2,81,2016,2
B1_1,S. floridanus,13,97,2018,1
B1_1,S. floridanus,12,81,2016,1
B1_1,S. floridanus,15,88,2014,1
B1_2,S. floridanus,12,97,2018,1
B1_2,S. floridanus,18,120,2016,1
B1_2,S. floridanus,11,119,2014,1
B1_3,S. floridanus,15,97,2018,1
B1_3,S. floridanus,18,120,2016,1
B1_3,S. floridanus,16,88,2014,1
B2_1,S. floridanus,18,76,2018,2
B2_1,S. floridanus,13,120,2016,2
B2_1,S. floridanus,12,119,2014,2
B2_2,S. floridanus,15,72,2018,2
B2_2,S. floridanus,14,81,2016,2
B2_2,S. floridanus,21,88,2014,2
B2_3,S. floridanus,14,91,2018,2
B2_3,S. floridanus,22,81,2016,2
B2_3,S. floridanus,13,88,2014,2
B1_1,U. cinereoargenteus,23,97,2018,1
B1_1,U. cinereoargenteus,24,81,2016,1
B1_1,U. cinereoargenteus,24,88,2014,1
B1_2,U. cinereoargenteus,22,97,2018,1
B1_2,U. cinereoargenteus,25,120,2016,1
B1_2,U. cinereoargenteus,22,119,2014,1
B1_3,U. cinereoargenteus,28,97,2018,1
B1_3,U. cinereoargenteus,32,120,2016,1
B1_3,U. cinereoargenteus,21,88,2014,1
B2_1,U. cinereoargenteus,33,76,2018,2
B2_1,U. cinereoargenteus,24,120,2016,2
B2_1,U. cinereoargenteus,24,119,2014,2
B2_2,U. cinereoargenteus,14,72,2018,2
B2_2,U. cinereoargenteus,23,81,2016,2
B2_2,U. cinereoargenteus,24,88,2014,2
B2_3,U. cinereoargenteus,22,91,2018,2
B2_3,U. cinereoargenteus,23,81,2016,2
B2_3,U. cinereoargenteus,26,88,2014,2
