"","Camara","Especies","Eventos","Esfuerzo","A̱o","Modelo","Tasa"
"1","B1_1","C. latrans",3,81,2016,1,3.7
"2","B1_1","C. latrans",2,97,2018,1,2.06
"3","B1_2","C. latrans",1,120,2016,1,0.83
"4","B1_2","C. latrans",2,97,2018,1,2.06
"5","B1_3","C. latrans",3,120,2016,1,2.5
"6","B1_3","C. latrans",1,97,2018,1,1.03
"7","B2_1","C. latrans",1,120,2016,2,0.83
"8","B2_1","C. latrans",0,76,2018,2,0
"9","B2_2","C. latrans",2,81,2016,2,2.47
"10","B2_2","C. latrans",2,72,2018,2,2.78
"11","B2_3","C. latrans",2,81,2016,2,2.47
"12","B2_3","C. latrans",1,91,2018,2,1.1
"13","B1_1","C. leuconotus",0,88,2014,1,0
"14","B1_1","C. leuconotus",1,81,2016,1,1.23
"15","B1_1","C. leuconotus",4,97,2018,1,4.12
"16","B1_2","C. leuconotus",2,119,2014,1,1.68
"17","B1_2","C. leuconotus",3,120,2016,1,2.5
"18","B1_2","C. leuconotus",4,97,2018,1,4.12
"19","B1_3","C. leuconotus",2,88,2014,1,2.27
"20","B1_3","C. leuconotus",2,120,2016,1,1.67
"21","B1_3","C. leuconotus",5,97,2018,1,5.15
"22","B2_1","C. leuconotus",0,119,2014,2,0
"23","B2_1","C. leuconotus",0,76,2018,2,0
"24","B2_1","C. leuconotus",2,120,2016,2,1.67
"25","B2_2","C. leuconotus",0,119,2014,2,0
"26","B2_2","C. leuconotus",4,81,2016,2,4.94
"27","B2_2","C. leuconotus",3,72,2018,2,4.17
"28","B2_3","C. leuconotus",0,119,2014,2,0
"29","B2_3","C. leuconotus",2,81,2016,2,2.47
"30","B2_3","C. leuconotus",1,91,2018,2,1.1
"31","B1_1","L. rufus",30,88,2014,1,34.09
"32","B1_1","L. rufus",35,97,2018,1,36.08
"33","B1_1","L. rufus",38,81,2016,1,46.91
"34","B1_2","L. rufus",32,119,2014,1,26.89
"35","B1_2","L. rufus",34,97,2018,1,35.05
"36","B1_2","L. rufus",33,120,2016,1,27.5
"37","B1_3","L. rufus",36,97,2018,1,37.11
"38","B1_3","L. rufus",30,120,2016,1,25
"39","B1_3","L. rufus",31,88,2014,1,35.23
"40","B2_1","L. rufus",29,76,2018,2,38.16
"41","B2_1","L. rufus",40,120,2016,2,33.33
"42","B2_1","L. rufus",30,119,2014,2,25.21
"43","B2_2","L. rufus",31,81,2016,2,38.27
"44","B2_2","L. rufus",31,72,2018,2,43.06
"45","B2_2","L. rufus",30,88,2014,2,34.09
"46","B2_3","L. rufus",32,81,2016,2,39.51
"47","B2_3","L. rufus",33,91,2018,2,36.26
"48","B2_3","L. rufus",37,88,2014,2,42.05
"49","B1_1","M. macroura",1,97,2018,1,1.03
"50","B1_1","M. macroura",2,81,2016,1,2.47
"51","B1_1","M. macroura",5,88,2014,1,5.68
"52","B1_2","M. macroura",2,97,2018,1,2.06
"53","B1_2","M. macroura",3,120,2016,1,2.5
"54","B1_2","M. macroura",1,119,2014,1,0.84
"55","B1_3","M. macroura",2,97,2018,1,2.06
"56","B1_3","M. macroura",0,120,2016,1,0
"57","B1_3","M. macroura",3,88,2014,1,3.41
"58","B2_1","M. macroura",3,76,2018,2,3.95
"59","B2_1","M. macroura",2,120,2016,2,1.67
"60","B2_1","M. macroura",2,119,2014,2,1.68
"61","B2_2","M. macroura",1,72,2018,2,1.39
"62","B2_2","M. macroura",1,81,2016,2,1.23
"63","B2_2","M. macroura",4,88,2014,2,4.55
"64","B2_3","M. macroura",1,81,2016,2,1.23
"65","B2_3","M. macroura",2,91,2018,2,2.2
"66","B2_3","M. macroura",5,88,2014,2,5.68
"67","B1_1","O. virginianus",44,97,2018,1,45.36
"68","B1_1","O. virginianus",45,81,2016,1,55.56
"69","B1_1","O. virginianus",43,88,2014,1,48.86
"70","B1_2","O. virginianus",40,97,2018,1,41.24
"71","B1_2","O. virginianus",42,120,2016,1,35
"72","B1_2","O. virginianus",42,119,2014,1,35.29
"73","B1_3","O. virginianus",44,97,2018,1,45.36
"74","B1_3","O. virginianus",45,120,2016,1,37.5
"75","B1_3","O. virginianus",51,88,2014,1,57.95
"76","B2_1","O. virginianus",38,76,2018,2,50
"77","B2_1","O. virginianus",42,120,2016,2,35
"78","B2_1","O. virginianus",47,119,2014,2,39.5
"79","B2_2","O. virginianus",48,72,2018,2,66.67
"80","B2_2","O. virginianus",49,81,2016,2,60.49
"81","B2_2","O. virginianus",41,88,2014,2,46.59
"82","B2_3","O. virginianus",42,91,2018,2,46.15
"83","B2_3","O. virginianus",44,81,2016,2,54.32
"84","B2_3","O. virginianus",44,88,2014,2,50
"85","B1_1","P. lotor",2,97,2018,1,2.06
"86","B1_2","P. lotor",0,97,2018,1,0
"87","B1_3","P. lotor",1,97,2018,1,1.03
"88","B2_1","P. lotor",2,76,2018,2,2.63
"89","B2_2","P. lotor",1,72,2018,2,1.39
"90","B2_3","P. lotor",0,91,2018,2,0
"91","B1_1","P. tajacu",2,97,2018,1,2.06
"92","B1_1","P. tajacu",3,81,2016,1,3.7
"93","B1_1","P. tajacu",6,88,2014,1,6.82
"94","B1_2","P. tajacu",4,97,2018,1,4.12
"95","B1_2","P. tajacu",2,120,2016,1,1.67
"96","B1_2","P. tajacu",4,119,2014,1,3.36
"97","B1_3","P. tajacu",3,97,2018,1,3.09
"98","B1_3","P. tajacu",5,120,2016,1,4.17
"99","B1_3","P. tajacu",8,88,2014,1,9.09
"100","B2_1","P. tajacu",2,76,2018,2,2.63
"101","B2_1","P. tajacu",7,120,2016,2,5.83
"102","B2_1","P. tajacu",3,119,2014,2,2.52
"103","B2_2","P. tajacu",3,72,2018,2,4.17
"104","B2_2","P. tajacu",6,81,2016,2,7.41
"105","B2_2","P. tajacu",7,88,2014,2,7.95
"106","B2_3","P. tajacu",0,91,2018,2,0
"107","B2_3","P. tajacu",2,81,2016,2,2.47
"108","B2_3","P. tajacu",3,88,2014,2,3.41
"109","B1_1","P. yagouaroundi",1,88,2014,1,1.14
"110","B1_2","P. yagouaroundi",0,119,2014,1,0
"111","B1_3","P. yagouaroundi",0,88,2014,1,0
"112","B2_1","P. yagouaroundi",1,119,2014,2,0.84
"113","B2_2","P. yagouaroundi",0,88,2014,2,0
"114","B2_3","P. yagouaroundi",0,88,2014,2,0
"115","B1_1","S. angustifrons",1,97,2018,1,1.03
"116","B1_1","S. angustifrons",3,81,2016,1,3.7
"117","B1_2","S. angustifrons",1,97,2018,1,1.03
"118","B1_2","S. angustifrons",4,120,2016,1,3.33
"119","B1_3","S. angustifrons",4,97,2018,1,4.12
"120","B1_3","S. angustifrons",6,120,2016,1,5
"121","B2_1","S. angustifrons",2,76,2018,2,2.63
"122","B2_1","S. angustifrons",9,120,2016,2,7.5
"123","B2_2","S. angustifrons",2,72,2018,2,2.78
"124","B2_2","S. angustifrons",5,81,2016,2,6.17
"125","B2_3","S. angustifrons",0,91,2018,2,0
"126","B2_3","S. angustifrons",2,81,2016,2,2.47
"127","B1_1","S. floridanus",13,97,2018,1,13.4
"128","B1_1","S. floridanus",12,81,2016,1,14.81
"129","B1_1","S. floridanus",15,88,2014,1,17.05
"130","B1_2","S. floridanus",12,97,2018,1,12.37
"131","B1_2","S. floridanus",18,120,2016,1,15
"132","B1_2","S. floridanus",11,119,2014,1,9.24
"133","B1_3","S. floridanus",15,97,2018,1,15.46
"134","B1_3","S. floridanus",18,120,2016,1,15
"135","B1_3","S. floridanus",16,88,2014,1,18.18
"136","B2_1","S. floridanus",18,76,2018,2,23.68
"137","B2_1","S. floridanus",13,120,2016,2,10.83
"138","B2_1","S. floridanus",12,119,2014,2,10.08
"139","B2_2","S. floridanus",15,72,2018,2,20.83
"140","B2_2","S. floridanus",14,81,2016,2,17.28
"141","B2_2","S. floridanus",21,88,2014,2,23.86
"142","B2_3","S. floridanus",14,91,2018,2,15.38
"143","B2_3","S. floridanus",22,81,2016,2,27.16
"144","B2_3","S. floridanus",13,88,2014,2,14.77
"145","B1_1","U. cinereoargenteus",23,97,2018,1,23.71
"146","B1_1","U. cinereoargenteus",24,81,2016,1,29.63
"147","B1_1","U. cinereoargenteus",24,88,2014,1,27.27
"148","B1_2","U. cinereoargenteus",22,97,2018,1,22.68
"149","B1_2","U. cinereoargenteus",25,120,2016,1,20.83
"150","B1_2","U. cinereoargenteus",22,119,2014,1,18.49
"151","B1_3","U. cinereoargenteus",28,97,2018,1,28.87
"152","B1_3","U. cinereoargenteus",32,120,2016,1,26.67
"153","B1_3","U. cinereoargenteus",21,88,2014,1,23.86
"154","B2_1","U. cinereoargenteus",33,76,2018,2,43.42
"155","B2_1","U. cinereoargenteus",24,120,2016,2,20
"156","B2_1","U. cinereoargenteus",24,119,2014,2,20.17
"157","B2_2","U. cinereoargenteus",14,72,2018,2,19.44
"158","B2_2","U. cinereoargenteus",23,81,2016,2,28.4
"159","B2_2","U. cinereoargenteus",24,88,2014,2,27.27
"160","B2_3","U. cinereoargenteus",22,91,2018,2,24.18
"161","B2_3","U. cinereoargenteus",23,81,2016,2,28.4
"162","B2_3","U. cinereoargenteus",26,88,2014,2,29.55
