"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName"
"1","CB23","Conejo",2013-05-12 04:02:34,2013-05-12,"04:02:34",0,0,0,0,"Sitio_1_R/CB23/Conejo","CB23__2013-05-12__04-02-34(1).JPG"
"2","CB23","Venado",2013-06-04 18:21:00,2013-06-04,"18:21:00",0,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-04__18-21-00(1).JPG"
"3","CB23","Venado",2013-06-08 19:57:12,2013-06-08,"19:57:12",351363,5856,97.6,4.1,"Sitio_1_R/CB23/Venado","CB23__2013-06-08__19-57-12(1).JPG"
"4","CB23","Venado",2013-06-26 04:13:05,2013-06-26,"04:13:05",1498543,24976,416.3,17.3,"Sitio_1_R/CB23/Venado","CB23__2013-06-26__04-13-05(1).JPG"
"5","CB23","Venado",2013-07-05 06:00:23,2013-07-05,"06:00:23",784038,13067,217.8,9.1,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__06-00-23(1).JPG"
"6","CB23","Venado",2013-07-05 16:30:20,2013-07-05,"16:30:20",37765,629,10.5,0.4,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-30-20(1).JPG"
"7","CB23","Venado",2013-07-07 18:05:56,2013-07-07,"18:05:56",178475,2975,49.6,2.1,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-05-56(1).JPG"
"8","CB23","Venado",2013-07-20 05:21:43,2013-07-20,"05:21:43",1075355,17923,298.7,12.4,"Sitio_1_R/CB23/Venado","CB23__2013-07-20__05-21-43(1).JPG"
"9","CB24","Lince",2013-05-09 18:57:25,2013-05-09,"18:57:25",0,0,0,0,"Sitio_1_R/CB24/Lince","CB24__2013-05-09__18-57-25(1).JPG"
"10","CB24","Venado",2013-05-12 06:34:02,2013-05-12,"06:34:02",0,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-12__06-34-02(1).JPG"
"11","CB24","Venado",2013-05-13 03:56:36,2013-05-13,"03:56:36",76952,1283,21.4,0.9,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-36(1).JPG"
"12","CB24","Venado",2013-06-19 10:00:17,2013-06-19,"10:00:17",3218619,53644,894.1,37.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-17(1).JPG"
"13","CB24","Venado",2013-06-28 18:03:03,2013-06-28,"18:03:03",806507,13442,224,9.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-03(1).JPG"
"14","CB25","Pecari",2013-06-05 23:12:20,2013-06-05,"23:12:20",0,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-20(1).JPG"
"15","CB25","Pecari",2013-06-22 18:55:41,2013-06-22,"18:55:41",1453392,24223,403.7,16.8,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-55-41(1).JPG"
"16","CB25","Venado",2013-05-14 18:55:21,2013-05-14,"18:55:21",0,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-14__18-55-21(1).JPG"
"17","CB25","Venado",2013-05-18 21:17:31,2013-05-18,"21:17:31",354121,5902,98.4,4.1,"Sitio_1_R/CB25/Venado","CB25__2013-05-18__21-17-31(1).JPG"
"18","CB25","Venado",2013-06-06 20:46:53,2013-06-06,"20:46:53",1639753,27329,455.5,19,"Sitio_1_R/CB25/Venado","CB25__2013-06-06__20-46-53(1).JPG"
"19","CB25","Venado",2013-06-27 19:31:42,2013-06-27,"19:31:42",1809880,30165,502.8,20.9,"Sitio_1_R/CB25/Venado","CB25__2013-06-27__19-31-42(1).JPG"
"20","CB25","Venado",2013-07-02 08:47:00,2013-07-02,"08:47:00",393191,6553,109.2,4.5,"Sitio_1_R/CB25/Venado","CB25__2013-07-02__08-47-00(1).JPG"
"21","CB25","Venado",2013-07-16 04:19:19,2013-07-16,"04:19:19",1193529,19892,331.5,13.8,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__04-19-19(1).JPG"
"22","CB25","Venado",2013-07-16 22:52:18,2013-07-16,"22:52:18",66770,1113,18.6,0.8,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-52-18(1).JPG"
"23","CB25","Zorra",2013-07-13 02:47:58,2013-07-13,"02:47:58",0,0,0,0,"Sitio_1_R/CB25/Zorra","CB25__2013-07-13__02-47-58(1).JPG"
"24","CB26","Conejo",2012-06-03 05:09:01,2012-06-03,"05:09:01",0,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2012-06-03__05-09-01(1).JPG"
"25","CB26","Conejo",2012-06-17 06:08:06,2012-06-17,"06:08:06",1213136,20219,337,14,"Sitio_1_R/CB26/Conejo","CB26__2012-06-17__06-08-06(1).JPG"
"26","CB26","Conejo",2013-07-11 06:47:04,2013-07-11,"06:47:04",33611933,560199,9336.6,389,"Sitio_1_R/CB26/Conejo","CB26__2013-07-11__06-47-04(1).JPG"
"27","CB26","Coyote",2013-07-22 08:04:59,2013-07-22,"08:04:59",0,0,0,0,"Sitio_1_R/CB26/Coyote","CB26__2013-07-22__08-04-59(1).JPG"
"28","CB26","Zorra",2012-05-10 04:59:23,2012-05-10,"04:59:23",0,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-05-10__04-59-23(1).JPG"
"29","CB26","Zorra",2012-05-28 20:11:11,2012-05-28,"20:11:11",1609908,26832,447.2,18.6,"Sitio_1_R/CB26/Zorra","CB26__2012-05-28__20-11-11(1).JPG"
"30","CB26","Zorra",2012-06-06 22:10:41,2012-06-06,"22:10:41",784766,13079,218,9.1,"Sitio_1_R/CB26/Zorra","CB26__2012-06-06__22-10-41(1).JPG"
"31","CB26","Zorra",2012-06-17 01:10:27,2012-06-17,"01:10:27",874777,14580,243,10.1,"Sitio_1_R/CB26/Zorra","CB26__2012-06-17__01-10-27(1).JPG"
"32","CB26","Zorra",2012-06-29 20:14:50,2012-06-29,"20:14:50",1105463,18424,307.1,12.8,"Sitio_1_R/CB26/Zorra","CB26__2012-06-29__20-14-50(1).JPG"
"33","CB27","Venado",2013-07-17 07:33:05,2013-07-17,"07:33:05",0,0,0,0,"Sitio_1_R/CB27/Venado","CB27__2013-07-17__07-33-05(1).JPG"
